id_hex,id_imovel,titulo,url,preco,descricao,quartos,suites,banheiros,vagas,area,bairro,imagem,imagens,imobiliaria,data_extracao
3c3b962fcc8e,dfimoveis_1266429,"Alphaville Residencial 1 Quadra V, ALPHAVILLE BRASILIA, ALPHAVILLE",/imovel/casa-3-quartos-aluguel-alphaville-brasilia-alphaville-df-alphaville-residencial-1-quadra-v-1266429,16000,"Casa nunca habitada! Recém Construída com Arquitetura Contemporânea, Piscina Aquecida e 3 Suítes em uma Casa de Alto Pad... 26/11/25",3 Quartos,3 Suítes,N/A,4 Vagas,607 m²,Outro,https://img.dfimoveis.com.br/fotos/1266429/4fe7ec951d5031c2952e8b90abadc2a9.webp,['https://img.dfimoveis.com.br/fotos/1266429/4fe7ec951d5031c2952e8b90abadc2a9.webp'],Perazzo Imóveis,2026-08-30T15:02:17.794188
1e89cf8c436f,dfimoveis_1419513,"SQNW 306 Bloco A, NOROESTE, BRASILIA",/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-306-bloco-a-1419513,15000,"Apartamento originalmente com 4 suítes, adaptado para uma ampla sala estendida, valorizando conforto, elegância e integr... 28/08/26",3 Quartos,3 Suítes,N/A,3 Vagas,167 m²,Noroeste,https://img.dfimoveis.com.br/fotos/1419513/30ccd82d799f1d81b2ca2f25cc690e24.webp,['https://img.dfimoveis.com.br/fotos/1419513/30ccd82d799f1d81b2ca2f25cc690e24.webp'],Alpha Brasilia Administradora de Imóveis,2026-08-30T15:02:17.798962
ce0f51e73f21,dfimoveis_955721,"STRC Trecho 3 Conjunto A, SETOR INDUSTRIAL, GUARA",/imovel/galpo-0-quartos-aluguel-setor-industrial-guara-df-strc-trecho-3-conjunto-a-955721,110000,"Galpão Logístico.  Locação ou Venda no STRC Trecho 3. 
Oportunidade única no Setor Industrial/DF: galpão de alto padrão ... 13/04/24",N/A,N/A,N/A,17 Vagas,4943 m²,Guará,https://img.dfimoveis.com.br/fotos/955721/9f501b008cc0c7282cbd0849c405f292.webp,['https://img.dfimoveis.com.br/fotos/955721/9f501b008cc0c7282cbd0849c405f292.webp'],Portto Imóveis,2026-08-30T15:02:17.803106
d73c4f1d12a0,dfimoveis_1401064,"SMPW Quadra 16 Conjunto 4, PARK WAY, BRASILIA",/imovel/casa-4-quartos-aluguel-park-way-brasilia-df-smpw-quadra-16-conjunto-4-1401064,27000,"Casa de dois pavimentos, com projeto que valoriza conforto, elegância e ambientes amplos, integrados e bem distribuídos.... 22/07/26",4 Quartos,4 Suítes,N/A,4 Vagas,800 m²,Park Way,https://img.dfimoveis.com.br/fotos/1401064/865f9f95295e1b37a01fec8a64a5e9fc.webp,['https://img.dfimoveis.com.br/fotos/1401064/865f9f95295e1b37a01fec8a64a5e9fc.webp'],Alpha Brasilia Administradora de Imóveis,2026-08-30T15:02:17.807002
ce8a78306d22,dfimoveis_1416351,"SGAN 912, ASA NORTE, BRASILIA",/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-912-1416351,4400,"Concreto, madeira e luz dão identidade a este projeto, que combina estética contemporânea, linhas limpas e tons naturais... 21/08/26",1 Quarto,1 Suíte,N/A,1 Vaga,26 m²,Asa Norte,https://img.dfimoveis.com.br/fotos/1416351/4e7fdae12c57071c090e00fbf3c7bcfc.webp,['https://img.dfimoveis.com.br/fotos/1416351/4e7fdae12c57071c090e00fbf3c7bcfc.webp'],Domos Empreendimentos,2026-08-30T15:02:17.810676
b9d5b48a267a,dfimoveis_1382516,"CRNW 510 Bloco A Lote 4, NOROESTE, BRASILIA",/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-crnw-510-bloco-a-lote-4-1382516,4400,"Noroeste – CNRW 510 | 35 m² | Mobiliado | 3º andar | Vaga de garagem | Elevador

Apartamento impecável, totalmente mobil... 09/07/26",1 Quarto,1 Suíte,N/A,1 Vaga,35 m²,Noroeste,https://img.dfimoveis.com.br/fotos/1382516/ad4ce4145fd1d122025413115a1e2d5f.webp,['https://img.dfimoveis.com.br/fotos/1382516/ad4ce4145fd1d122025413115a1e2d5f.webp'],Soma Imóveis,2026-08-30T15:02:17.819533
e5fbb9f9a2c3,dfimoveis_1280796,"SHIS QI 9 Conjunto 13, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-qi-9-conjunto-13-1280796,78000,"SHIS QI 09 | Casa com 6 quartos, sendo 5 suítes, uma das quadras mais valorizadas do Lago Sul. Localizada em terreno de ... 27/12/25",6 Quartos,5 Suítes,N/A,30 Vagas,899 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1280796/4b30b80d2b29b0deffd3c96a2c8c4d92.webp,['https://img.dfimoveis.com.br/fotos/1280796/4b30b80d2b29b0deffd3c96a2c8c4d92.webp'],Aguiar de Vasconcelos ,2026-08-30T15:02:17.825227
8694d42b1287,dfimoveis_1405818,"CRNW 511 Bloco A Lote 1, NOROESTE, BRASILIA",/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-crnw-511-bloco-a-lote-1-1405818,7500,"NEVES TEIXEIRA IMÓVEIS ALUGA

Excelente apartamento no Union 511, localizado na CLNW 511, no Noroeste, um dos empreendim... 02/08/26",2 Quartos,1 Suíte,N/A,1 Vaga,51 m²,Noroeste,https://img.dfimoveis.com.br/fotos/1405818/7ca021ff9716d9d83bf4d006699c628e.webp,['https://img.dfimoveis.com.br/fotos/1405818/7ca021ff9716d9d83bf4d006699c628e.webp'],Neves Teixeira Imóveis,2026-08-30T15:02:17.830841
1d09d63df6be,dfimoveis_1342645,"SHIS QI 13 Conjunto 12, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-qi-13-conjunto-12-1342645,40000,"Descubra o conforto de morar na SHIS QI 13 Conjunto 12, no Lago Sul, Brasília. Esta espaçosa casa sobrado de 4 dormitóri... 27/04/26",4 Quartos,4 Suítes,N/A,4 Vagas,1000 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1342645/580764aa1ddb07efe5cb52201c9deb7d.webp,['https://img.dfimoveis.com.br/fotos/1342645/580764aa1ddb07efe5cb52201c9deb7d.webp'],Vieira Costa Imobiliária,2026-08-30T15:02:17.835646
d3b40eef616f,dfimoveis_1407930,"SHIS QI 19 Conjunto 2, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-qi-19-conjunto-2-1407930,47000,"Imagine morar em uma casa espaçosa no coração do Lago Sul, em Brasília, que oferece o conforto de 5 quartos, incluindo 3... 06/08/26",5 Quartos,3 Suítes,N/A,10 Vagas,400 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1407930/a78fd2b0009227be10e97060bf9cc996.webp,['https://img.dfimoveis.com.br/fotos/1407930/a78fd2b0009227be10e97060bf9cc996.webp'],Vieira Costa Imobiliária,2026-08-30T15:02:17.842092
